customer.id;outfit.id;rentalPeriod.start;rentalPeriod.end
01282;outfit.c8f67ce7c20c45fabab2e1b4eb056389;2023-08-22;2023-09-21
05145;outfit.f919a19679914e88ab66d350b4a9cbed;2023-02-05;2023-03-04
05145;outfit.48f1cbb3e03247b7bd894690722f655c;2023-02-05;2023-03-04
04638;outfit.cba27389161e42689734a7912d8904a3;2024-03-12;2024-04-11
02846;outfit.a1c343a6ab39449597376de1dd75173b;2022-03-20;2022-04-19
01225;outfit.68a191c388e143a98f34a47423492353;2022-05-09;2022-05-10
05417;outfit.4a69009744c044a9a9c8e9199e8fd863;2022-10-14;2022-11-13
05417;outfit.903f687394bd4aa8ba7ed96d8a933afa;2022-10-14;2022-11-13
05578;outfit.3385cf5d9c834958b856bbdbe446b4c6;2023-11-18;2023-12-17
03577;outfit.e8723d2b7fb84b36b9b635d46932ddb9;2021-11-16;2021-12-15
03577;outfit.8d3343f8c69af77c;2021-11-15;2021-12-15
01581;outfit.674240b37745499f9e7d59ac007b9201;2022-06-21;2022-07-20
01581;outfit.7d8958d4ac674b51aa88cb95ba5cd906;2022-06-21;2022-07-20
01581;outfit.b1e48112642540ce9a9ea16a1832b61f;2022-07-21;2022-09-20
01581;outfit.bc3fd0ccde3142df8d22eaf0508699a6;2022-08-21;2022-09-20
00502;outfit.f1f29dd5349745e0bed4c6337de93fd5;2022-09-19;2022-10-18
00502;outfit.4c7519ffc55b4eaab857c4b8ae3a559b;2022-09-19;2022-10-18
02445;outfit.3ccefaac1825408c82d9980a3ea5964a;2022-06-14;2022-08-13
02445;outfit.8632cef7c2524f1ea8f213f5398eb754;2022-08-14;2022-09-13
02148;outfit.976cc296aeea4950b0596aa59443cdd7;2024-01-21;2024-02-20
02148;outfit.9e90f563acb38233;2023-11-21;2023-12-20
02148;outfit.258df88c55154b8bb4e8f6b07248d702;2023-10-21;2023-11-20
00067;outfit.499d31bd36254c7191245e1d40745824;2023-02-28;2023-03-27
00067;outfit.eb104cb68a534166899c4cce84b0fa55;2023-04-28;2023-05-27
01413;outfit.97f30dc2c7ca4caa935b9e96997c1f86;2021-02-02;2021-03-02
00416;outfit.06db005c4ef84c80b12cfa9b7bc02f2d;2023-12-07;2024-01-06
04789;outfit.83f21ac6d8484d45803b81745d138193;2024-03-25;2024-04-24
06897;outfit.6cfbd3ae11fc4583909434cb1af1cd83;2022-05-11;2022-06-10
00713;outfit.87fa255049a5497a8a2a86ebd6fb405e;2023-10-26;2023-11-25
00713;outfit.548761c401564fceaf3f70afdf2854d3;2023-10-26;2023-11-25
00713;outfit.7622aeae7257473e89700421a8ad295f;2023-10-26;2023-11-25
00713;outfit.c4de14ccf15840e3b7958e7bc3ab4794;2023-10-26;2023-11-25
00206;outfit.9fde090f117fb9d9;2021-11-05;2021-12-03
03308;outfit.fb060da6c30143fd9735e8fd364910e0;2022-09-23;2022-10-22
02571;outfit.3bbcfed0726a42e78309af3e2e0ddc7d;2024-02-01;2024-02-29
02571;outfit.6191652d1caf4382b1118696be5a00aa;2023-11-01;2023-11-30
02571;outfit.63e1c303cbca4ed2a2d0908e89faaebd;2023-11-01;2023-11-30
01598;outfit.4c68432e28344e1da23c14768f6c2d3a;2023-05-25;2023-06-24
04409;outfit.7485106506344543bf623376180c6e85;2024-06-05;2024-07-04
01586;outfit.d4b9e6542f6b4348b675debf1c2ea7e6;2023-07-16;2023-08-15
01586;outfit.5ee6b8e1796843248c5ed0284c981f77;2023-07-16;2023-08-15
01586;outfit.a9f2bcb6885fe60a;2023-07-16;2023-08-15
05420;outfit.5f736379439d47bd8a57e3dc993b12e7;2023-12-18;2024-01-17
05420;outfit.0adc5e2ff6d94176af87fa04db5bd35a;2023-12-18;2024-01-17
05420;outfit.09f135343de74c58b298a97453ac7b81;2023-12-18;2024-01-17
05420;outfit.2d238dedb3bb474fbc96c347e5548da1;2023-11-18;2023-12-17
04608;outfit.73ca4657bd9c4ce5b0e697f570323479;2022-06-14;2022-07-13
00451;outfit.cd37fc42e4fc45fda02ec5e9a8793e7b;2023-09-29;2023-10-28
00617;outfit.eccca098361249b2b70f5a4f7715b667;2021-12-06;2022-01-06
01819;outfit.19f4932d209d4886bfe838d5677f09ed;2022-04-19;2022-05-18
01819;outfit.f775d5cfdac642b292a647e3e82e2e6a;2022-04-19;2022-05-18
06519;outfit.aad94985a8964cb09f0b45152c1ca96f;2021-04-13;2021-05-12
01174;outfit.96051518c48b42d9a3349ad745aaac42;2024-06-09;2024-07-08
04583;outfit.3be1b3b60ca5425da9e94ba54df5a49f;2023-01-17;2023-02-16
04583;outfit.29739b1db8f74339a6caa72bdf1a7478;2023-01-17;2023-02-16
04583;outfit.f3067ef490224ffba4c9a8b16458c624;2023-01-17;2023-02-16
02870;outfit.602febb91b7b424497802aead59a7cab;2023-12-26;2024-01-25
07411;outfit.84cfd784c9dd4ad6;2023-11-19;2023-12-18
01316;outfit.d47951d045344de4add853e42c173b6a;2023-09-27;2023-10-26
00617;outfit.2c4583bd98d748f29b7f7fb1cf6c43c4;2021-07-07;2021-07-22
00617;outfit.aca18f7f7df3a642;2021-07-07;2021-07-22
03624;outfit.021142f5924f4280bd3948268d35db64;2023-08-28;2023-10-27
05760;outfit.3961c9fb3dd04e1884c3ffed9c6ee1d6;2024-05-05;2024-06-04
05760;outfit.2d2d6444c77a40b1b67a96d51ba41f6b;2024-05-05;2024-06-04
01049;outfit.0ff7ccec21ac4dedab44d06b576a99e6;2023-10-07;2023-11-06
07089;outfit.3a2118e0388f46359a205404230dbbca;2022-04-21;2022-05-20
07080;outfit.963295e2443c48058bcd400ff5266b14;2022-03-09;2022-04-08
07080;outfit.4ccfdf8446414dd78ca6c9df62a2e625;2022-03-09;2022-04-08
07080;outfit.f4d33b78646246c89a33c24fe11f5c19;2022-03-09;2022-04-08
05324;outfit.2e3539796fa04cde8ac697d6bb2a1cd2;2024-03-11;2024-04-10
05147;outfit.a1e270c9cb8240918a11cd8c1b3ffbac;2022-07-18;2022-08-17
02833;outfit.8ed16b621723c1e7;2021-11-15;2021-12-13
02833;outfit.820179fa25670e17;2021-08-02;2021-08-30
02833;outfit.37391d71588c40bd82003f14276d6f92;2021-10-11;2021-11-08
02833;outfit.7d25a4b28f124a1193f7b1183e2d4fb5;2021-08-02;2021-08-30
02833;outfit.e5503fe6f5f243fc90c526bcdb75c942;2021-11-30;2021-12-23
02833;outfit.fc18564205bd40c8bdcd638e83f45ed7;2021-08-31;2021-09-27
02833;outfit.95c292eefaa5453bbb381c3117b7b152;2021-08-02;2021-08-30
02833;outfit.61c42929ecf640358fae6531dc92090b;2021-08-02;2021-08-30
02833;outfit.0d0727d0c03f453495eaa85dc17d382d;2021-08-02;2021-08-30
06591;outfit.db8564f343cb4428b875936de6cbbbe1;2023-11-09;2023-12-08
06911;outfit.0e3cca75679146e9908ef3128429e772;2022-03-11;2022-04-10
03211;outfit.cb29aca3f7be4551b07a9d1b02957e02;2021-04-16;2021-05-14
03211;outfit.e042570478134b1bb5b4be84c6a87e97;2021-04-16;2021-05-14
03211;outfit.e3f7fd500a20448083e14658a4b3f26c;2021-04-16;2021-05-14
07021;outfit.9d42de6e0fbc4262b7ead32b1a90580f;2023-07-04;2023-08-03
07021;outfit.9f7434145481442191419433bd1aa953;2023-07-04;2023-08-03
07021;outfit.b6aede50dcb94e128c93e7088d164499;2023-06-04;2023-07-03
05572;outfit.229cc0c550f54fb3b3b937bab2abda35;2023-03-21;2023-04-20
05572;outfit.25169df7adc54e599860b09affef0061;2023-03-21;2023-04-20
05572;outfit.5aea756807354309a1489221ef986479;2023-05-21;2023-06-20
05572;outfit.74b8a62f6ecf484d854c4360dcb8a761;2023-03-21;2023-04-20
05572;outfit.d4a0ec6bad0b4cbeaeab346afbdcaac3;2023-03-21;2023-04-20
01742;outfit.124195196333488e8ba4d195b96ecbdf;2024-02-19;2024-03-18
06966;outfit.c4d702c961a5451b83bf65ec6735bb23;2022-05-20;2022-06-19
01225;outfit.d2429504782249eabee35b6f1fe521d1;2021-08-16;2021-09-15
03533;outfit.929220a63bf843f99474bc2644fcb53d;2020-10-13;2020-11-13
04668;outfit.7fe31fbb215843e3acc3b946b675c10f;2023-03-28;2023-04-27
04668;outfit.a3d5299f391ebf8b;2023-04-28;2023-05-27
04668;outfit.b274b05eebb54106ba70297da5827e98;2023-03-28;2023-04-27
05655;outfit.34afd8b7f33d434c8e0ac2849eab231d;2022-07-06;2022-08-05
03291;outfit.7475b5c48ccd4599a4fe7a14eb91ced5;2022-10-28;2022-11-27
02867;outfit.4b4c3f5f55c348f8a8723ac65502385f;2022-05-14;2022-06-13
02505;outfit.465fa50f01724b408b05667e6730bd7d;2024-04-28;2024-05-27
04260;outfit.a10a840b542d45dc8f2d9ff6f08372c7;2022-08-26;2022-09-25
04260;outfit.c7556e3e2f804e71b184eb50f81d1340;2022-08-26;2022-10-25
04260;outfit.db7ab33c48bf433d89a4a14fd661835b;2022-08-26;2022-09-25
02167;outfit.66da7242210f4c3fa7a47285efe37504;2023-02-26;2023-03-25
02167;outfit.0a769485844446769b0609c505933bab;2022-10-26;2022-11-25
02167;outfit.9a5981fd3a144502ac388d59fcd55fd6;2022-11-26;2022-12-25
02675;outfit.7734bb4dec4147d6aaf9833595ea5363;2023-06-11;2023-07-10
02675;outfit.5e9748b1f97b426a9fbc719c4c334877;2023-06-11;2023-07-10
02675;outfit.23baea8160db4b0dbd2699eedf8be784;2023-06-11;2023-07-10
03211;outfit.ea9e6f475b914f0c9a49f0fbcfffc447;2020-12-16;2021-01-18
03211;outfit.e042570478134b1bb5b4be84c6a87e97;2021-02-16;2021-03-16
03211;outfit.6e50879668384d469557b1c93bc1d7a6;2020-12-16;2021-01-18
03211;outfit.dd5c21e0c1ee4428b7019e5740e3e8aa;2020-12-16;2020-12-17
04183;outfit.9e38af04a23242b8a4cf6f88e006e3f4;2023-04-17;2023-05-16
04183;outfit.e74f61242b414430907a3581a2c956e9;2023-04-17;2023-05-16
02860;outfit.b978a5bd002d4389becacc6e8f2be104;2022-05-08;2022-06-07
02860;outfit.98eebea274f23dd6;2022-05-08;2022-06-07
06319;outfit.b20ad65f8bfd430ab461bbcdf15cc02f;2022-08-05;2022-09-04
00983;outfit.f505ed4c0f5f480abaa01d01bb8e1228;2022-01-15;2022-02-14
06404;outfit.d33e0d69635147edb794f2080c67ff6e;2023-04-07;2023-05-06
05689;outfit.6e2a3eeffbf4433c9d6e5085d8c083f2;2020-08-19;2020-09-21
05689;outfit.78392fa87e224d719c89da109d9e263f;2020-08-19;2020-09-21
05689;outfit.5479c478e9c840508ee000ab013dc9ed;2020-08-19;2020-09-21
05689;outfit.3230795e6aed435ab96c8fcf5e56fd08;2020-08-19;2020-09-21
05689;outfit.337f6a0507d640eb8561d28d58cf2f65;2020-08-19;2020-09-21
04073;outfit.94fc217a786e465e8248c47205270aa9;2022-11-09;2022-12-08
04073;outfit.19393dd517da4433833d4248938054ba;2022-10-09;2022-11-08
04073;outfit.ada6bb8993e7a05e;2022-09-09;2022-10-08
04073;outfit.9819ae08a66d4623902cf9dd5f7ed385;2022-11-09;2022-12-08
04073;outfit.b619b14568c94d46ac314ae0983703bd;2022-10-09;2022-11-08
04073;outfit.3c53090383794bf2a84726252bff5d61;2022-12-09;2023-01-08
06642;outfit.bcc71d0caf95dc33;2021-07-08;2021-08-02
06642;outfit.14a83a236b9a474c8cac31b4288065bf;2021-07-08;2021-08-02
04638;outfit.f367c2f5517542f4ad8df5446c0e0654;2024-05-12;2024-06-11
06330;outfit.af1894405ac3cffe;2022-05-04;2022-06-03
01735;outfit.897c161625314c1a993188bc0a5ca063;2021-09-28;2021-10-28
04522;outfit.b108cb7db654461e8a7846b469253615;2024-02-11;2024-03-10
04522;outfit.255a8dd39f454d0fa249f4ae9e5efe0a;2024-02-11;2024-03-10
03328;outfit.a86d04762f2345d28fff4f35f18294be;2022-12-25;2023-01-24
02465;outfit.d3d31aa21c3c4e1cac76d8cd9a38d12a;2022-12-19;2023-01-18
05155;outfit.2c6a523387fe4119bc80b4a043a56dce;2023-09-06;2023-10-05
04880;outfit.91f0b86085f74adb966dabc648fb4309;2023-02-28;2023-03-27
04880;outfit.de0e8c1243704a17b1beb2411b4f3b2e;2023-02-28;2023-03-27
06737;outfit.f69e1b9855584e7abe48493d50500042;2022-12-01;2022-12-31
06737;outfit.e4050c94fef34ae09e9fa18b3c73e565;2023-01-01;2023-01-31
06737;outfit.62f53b28ecdd410f9f05908a02b7219b;2023-01-01;2023-01-31
06737;outfit.3784d7eb23b7443daca168d17127b18d;2022-12-01;2022-12-31
06737;outfit.6b03accb23f9402da014d1e8090d0c19;2022-12-01;2022-12-31
06704;outfit.a1c343a6ab39449597376de1dd75173b;2023-02-28;2023-03-27
03996;outfit.2405f2beaf9241f590e020d163f6fb66;2024-02-18;2024-03-17
03996;outfit.ed0bda9223004815822e8eaff7b7688f;2024-02-18;2024-03-17
03996;outfit.1848fdce66034bb08c2e95d49ae90892;2024-03-18;2024-04-17
03996;outfit.cc59868d04754b33a44f9f04e0df6b9a;2024-03-18;2024-04-17
05572;outfit.4fa45b71b74647938220e9b507b32561;2023-07-21;2023-08-20
05015;outfit.21e6b9619ffa464980a34b96ecfa7773;2022-07-05;2022-08-04
01720;outfit.981387ce664649c08f8c79dc4e8339d0;2021-12-07;2022-01-07
05914;outfit.253fb654ace04cbb9280e54d54b62ed8;2020-09-04;2020-10-09
05914;outfit.b33b5cbbea204ab79a1060c3a17546b3;2020-10-09;2020-11-06
05914;outfit.58ca67f378ea4a67acef66ec0fa44aaa;2020-10-09;2020-11-06
05914;outfit.97f20b8380c34615a30aed080071aa96;2020-10-09;2020-11-06
05914;outfit.a7b55780d1764599a3ee339fff38d002;2020-10-09;2020-11-06
05760;outfit.e947dbab69e64c5a85f1fe565b5f3a49;2022-03-05;2022-04-04
05768;outfit.42b3677708254a1ab06f1d95657f9be8;2024-02-27;2024-04-26
00368;outfit.c9b818dc9ce34288bdeec5d6325bc113;2023-10-14;2023-11-13
05903;outfit.4c51976dcd88414cbe6c8c7413e63d2d;2023-08-09;2023-09-08
02290;outfit.371b56b65f984af98d7233c31e7ffbad;2022-04-27;2022-05-26
01027;outfit.eee164604c174a36aaf2d8427744e0ef;2022-08-28;2022-09-27
01027;outfit.0e3e2defcbdf4cc48ffdbc7f4b3aaac9;2022-08-28;2022-09-27
01027;outfit.1990cbad6e4f4e2c8b94718f1504b0e9;2022-08-28;2022-09-27
00431;outfit.f775d5cfdac642b292a647e3e82e2e6a;2023-04-20;2023-05-19
01757;outfit.756079160a3e402d87df01062ec3b941;2021-08-02;2021-09-02
01757;outfit.c95b16794434474e8d02306d2f1b6a0a;2021-08-02;2021-09-02
01757;outfit.ceda10a556b24c7c9ceeb2cc1601429a;2021-08-02;2021-09-02
01757;outfit.8db4b3541b97c627;2021-08-02;2021-09-02
01757;outfit.77accd502dd8426bb3b8772f0f33c9b9;2021-08-02;2021-09-02
07202;outfit.9cffd32efa0e4f06ba902d32fd58b73f;2021-10-12;2021-11-08
07202;outfit.362c746ee341493897cdd5f835339029;2021-10-12;2021-11-08
07202;outfit.4b493f67c0194b21a5adb97d3c1fbe82;2021-10-12;2021-11-08
07202;outfit.c8ad0516f3094c538ee3edbd000c59d3;2021-10-12;2021-11-08
07202;outfit.e934fd1e3f1b421a840763d81b67960d;2021-10-12;2021-11-08
00063;outfit.d040b2a647d8425a821c81ab13a044ae;2024-01-07;2024-02-06
06716;outfit.9a8ec312c24f4cd7b8eacf5146f1d0b9;2023-07-06;2023-08-05
01720;outfit.09a274c103524f30bd8e3fcc3cbab7c1;2022-05-12;2022-06-11
01720;outfit.e16f0560815c410ea7601cefd60fb0c7;2022-04-12;2022-05-11
01720;outfit.3ec5fbdec69843d49634dcc582e56fe8;2022-04-12;2022-05-11
01720;outfit.353d5f65327e4dc7a10203844a59c560;2022-05-12;2022-06-11
01720;outfit.581fdd709a5a41eba25591b24a14ad7c;2022-03-12;2022-04-11
00195;outfit.0a621891195a477fad4ffa1a6101b157;2022-11-09;2022-12-08
00195;outfit.ae28712abaca4deca8c1fa1a0f37d3c6;2022-10-09;2022-11-08
00195;outfit.549a87a1d39643a3b334bbb08107913d;2022-11-09;2022-12-08
00195;outfit.376b006a1f2d4c80b1de49f25a28205b;2022-10-09;2022-11-08
00195;outfit.650cc4907be243f9962aac13b35e6712;2022-12-09;2023-01-08
00195;outfit.8d3343f8c69af77c;2022-12-09;2023-01-08
06663;outfit.3c9782930ae64e32a8b4966d3ea19c5a;2023-10-01;2023-10-31
03970;outfit.cafdca5ad56a4f6ea824cc20fab5b5ae;2022-12-14;2023-01-13
03970;outfit.148857ae81d84843ae1671986a4e145e;2022-12-14;2023-01-13
01433;outfit.dbda32a346624a81b2a73aedc84acd93;2024-03-01;2024-03-31
03982;outfit.0c3d1b3ff0864cd3b2a80d232fc60818;2023-04-10;2023-05-09
00757;outfit.d5d55db806b34b4c9d9896c8c5e36a10;2022-04-08;2022-05-07
06046;outfit.9d3e80f76b00403d880ae2e5a01796ec;2023-10-06;2023-11-05
05490;outfit.93cff50e198747d4acd32ea21204e1e7;2023-09-28;2023-10-27
05490;outfit.bb4c5f93a3344905bab4aed47a4ba5f9;2023-09-28;2023-10-27
05490;outfit.16d7e73720044a4d978759514b84d11b;2023-09-28;2023-10-27
05490;outfit.dbb3485f481d4914af635163c8bec843;2023-10-28;2023-11-27
05490;outfit.9825faea2fc5499492c4de3e5bc72192;2023-10-28;2023-11-27
05490;outfit.af6e9ddd1f254d29894846dd30fa9a7f;2023-09-28;2023-10-27
05490;outfit.ed82346120fe43009df71561ef7983dd;2023-10-28;2023-11-27
05490;outfit.2cfb83fdf93d4203990f2001f7b78560;2023-10-28;2023-11-27
05490;outfit.7949c76d6d01458dadb4d517d86b6d3f;2023-09-28;2023-10-27
05490;outfit.781898448b614ad7b6c52ad5cf2afb11;2023-10-28;2023-11-27
03515;outfit.331b5ce0c92b4fd69e4f4f03e341b64a;2023-02-25;2023-03-24
03515;outfit.6b5aa4d6368248bba509c653710c4d36;2023-02-25;2023-03-24
04774;outfit.b5f45ee9fdaaa13e;2021-11-15;2021-12-15
04774;outfit.b9a83f27ede146b0b0ec29bd3f699a13;2021-11-15;2021-12-15
04774;outfit.7395b78d10084aebb906f8f83bfd89cc;2021-11-15;2021-12-15
02842;outfit.14b7dc545661405aa13d4d507f445589;2023-04-22;2023-05-21
06526;outfit.931ef0d0cada4965a8ea693f7a520b64;2023-08-09;2023-09-08
06526;outfit.453cf75fa8be46768e81bdbb44d3dc3c;2023-06-09;2023-07-08
04004;outfit.69770fe1943040c2aa8c8b83c1d5836a;2022-05-12;2022-06-11
04004;outfit.3e28277f71b9403e9ae754a7d542dd1f;2022-05-12;2022-06-11
04004;outfit.c9da3444b26240ebb3c026c80661fe6a;2022-05-12;2022-06-11
04004;outfit.fc774521956e43c1b7b989272f5dca23;2022-05-12;2022-06-11
04004;outfit.68a191c388e143a98f34a47423492353;2022-09-12;2022-10-11
04004;outfit.e17a0df1f70743e590827d7df93bb7f4;2022-10-12;2022-11-11
04004;outfit.43e73eedf7134d04afd27ea87948ce03;2022-10-12;2022-11-11
04004;outfit.adca7d66d2f842f280446e06ae4ad72a;2022-09-12;2022-10-11
04004;outfit.3090c840f699483885d1927696e0c139;2022-05-12;2022-06-11
01386;outfit.3eb7f3bf43b746f9bb7f165fda5f12ed;2022-11-05;2022-12-04
